47,3;1625,58
39,7;1702,57
54;1811,01
53,3;1826,57
47,1;1953,9
57,3;1968,56
55,2;1981,5
44,2;2000,6
57,5;2025,89
54,6;2077,13
57,7;2168,19
55,3;2365,62
57,4;2423,85
60,2;2432,94
52,5;2440,51
58,4;2640,15
52,3;2640,68
59,1;2724,49
56,4;2976,11
63,8;2981,93
47,7;3015,02
51,9;3018,4
62,9;3036,17
63,1;3295,34
42,3;3351,12
62,9;3390,71
55,4;3494,32
55,4;3671,95
65,8;3836,91
61,8;3902,24
67,7;3914,5
54,7;3941,9
67;3948,09
75,9;4045,42
46,2;4048,29
50,6;4095,81
56,4;4104,63
65,4;4147,09
66,5;4168,64
57,7;4217,48
62,2;4307,81
62,6;4470,61
66,5;4532,89
56,8;4586,05
55,4;4956,81
68,6;5060,54
48,1;5379,12
61,9;5394,59
51,1;5627,75
58,7;5646,46
61,8;5680,58
57,9;5761,75
62,2;6006,36
58,3;6120,51
46,9;6213,5
63,9;6284,19
67,3;6375,93
68,3;6578,19
48,4;6587,09
67,8;6700,81
63,6;6951,3
56,3;7212,54
61;7222,55
60,5;7784,07
51,1;7838,34
69,5;7893,68
69;8228,01
58,4;8759,04
65,4;9030,32
64,7;9281,1
41;9738,43
53,2;9801,62
51,9;9880,95
74;10117,57
73;10484,91
64,6;10499,75
58,9;10750,59
68,6;10792,96
65,3;11752,54
61,4;13383,68
67,8;13861,05
65;14278,87
52,2;14591,86
75,4;15037,35
67,2;15166,12
61;15170,35
61,4;15683,66
70,4;15684,56
57;16076,08
68,6;16437,24
74,2;16809,65
65;17579,26
57,7;18883,46
76,6;20200,38
73,7;20379,9
60,7;20803,74
65,3;21291,43
65,5;23449,57
66,4;23715,48
68,1;25760,76
68,6;27241,09
65,7;28208,26
65,1;28572,11
60,8;29474,54
72,3;29742,84
62,9;31857,89
62,2;32155,21
72,1;38331,98
63,8;38679,13
78,9;39932,06
77,6;40325,38
72,8;40543,58
84,4;42260,13
67,3;43507,24
73,5;44681,08
77,7;45069,93
74,9;45804,65
90,2;46220,5
72;47380,83
76,8;48482,77
75,2;53253,48
80,9;54093,6
76,7;57218,85
76,8;59927,93
89,4;60297,79
72,6;61264,4
80,5;68941,81
77,1;71314,77
73;75704,25
81,9;80333,44
71;81208,88
75,9;104498,74
